FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,PYMT_TYP_EN_DESC,PYMT_TYP_FR_DESC,AVLBL_PREV_YR_AMT,MAIN_ESTMT_AMT,SPLMTRY_ESTMT_AMT,ADJ_AMT,WRNT_AMT,TRNFR_AMT,TP_EN_DESC,TP_FR_DESC,TP_DTL_EN_DESC,TP_DTL_FR_DESC,CRNT_YR_USED_AMT,C_VRNC_AMT,AVLBL_SBSQT_YR_AMT,NET_XPND_PY_AMT
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,105627,0,0,0,0,"Grants to the Lieutenant Governors of the provinces of Canada towards defraying the costs incurred in the exercise of their duties: Ontario","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions : Ontario",Ontario,Ontario,105627,0,0,105627
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,97814,0,0,0,0,"Grants to the Lieutenant Governors of the provinces of Canada towards defraying the costs incurred in the exercise of their duties: British Columbia","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions : Colombie-Britannique","British Columbia",Colombie-Britannique,97814,0,0,97814
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,77590,0,0,0,0,"Grants to the Lieutenant Governors of the provinces of Canada towards defraying the costs incurred in the exercise of their duties: Newfoundland et Labrador","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions : Terre-Neuve et-Labrador",Newfoundland,Terre-Neuve,77590,0,0,77590
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,75940,0,0,0,0,"Grants to the Lieutenant Governors of the provinces of Canada towards defraying the costs incurred in the exercise of their duties: Alberta","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions : Alberta",Alberta,Alberta,75940,0,0,75940
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,73762,0,0,0,0,"Grants to the Lieutenant Governors of the provinces of Canada towards defraying the costs incurred in the exercise of their duties: Manitoba","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions : Manitoba",Manitoba,Manitoba,73762,0,0,73762
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,73758,0,0,0,0,"Grants to the Lieutenant Governors of the provinces of Canada towards defraying the costs incurred in the exercise of their duties: Saskatchewan","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions : Saskatchewan",Saskatchewan,Saskatchewan,73758,0,0,73758
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,64199,0,0,0,0,"Grants to the Lieutenant Governors of the provinces of Canada towards defraying the costs incurred in the exercise of their duties: Nova Scotia","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions : Nouvelle-Écosse","Nova Scotia",Nouvelle-Écosse,64199,0,0,64199
2014/2015,04,"Canadian Heritage","Patrimoine canadien",135,"Canadian Heritage","Patrimoine canadien",Grant,Subvention,0,62947,0,0,0,0,"Grants to the Lieutenant Governors of the provinces of Canada towards defraying the costs incurred in the exercise of their duties: New Brunswick","Subventions aux lieutenants-gouverneurs de chaque province du Canada à titre d'indemnités pour les frais engagés dans l'exercice de leurs fonctions : Nouveau-Brunswick","New Brunswick",Nouveau-Brunswick,62947,0,0,62947
2014/2015,09,"Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement",005,"Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement",Contribution,Contribution,0,11149467,0,0,0,543190,"Payments of assessed contributions to International Organizations","Paiements de quote-parts aux organisations internationales","United Nations Educational, Scientific and Cultural Organization (US$4,189,387) (4,825,881 Euro)","Organisation des Nations Unies pour l'éducation, la science et la culture (4 189 387 $US) (4 825 881 euros)",11692657,0,0,11501374
2014/2015,09,"Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement",005,"Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement",Contribution,Contribution,0,10311048,0,0,0,310573,"Payments of assessed contributions to International Organizations","Paiements de quote-parts aux organisations internationales","Organization of American States (US$9,766,099)","Organisation des états américains (9 766 099 $US)",10621621,0,0,10392957
2014/2015,09,"Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement",005,"Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement",Contribution,Contribution,0,8328897,0,0,0,0,"Payments of assessed contributions to International Organizations","Paiements de quote-parts aux organisations internationales","International Criminal court (5,975,676 Euro)","Cour pénale internationale (5 975 676 euros)",8249884,79013,0,9161807
2014/2015,09,"Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement",005,"Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement",Contribution,Contribution,0,6474318,0,0,0,-454242,"Payments of assessed contributions to International Organizations","Paiements de quote-parts aux organisations internationales","World Trade Organization (5,727,964 Swiss Francs)","Organisation mondiale du commerce (5 727 964 francs suisses)",6020076,0,0,6336240
2014/2015,09,"Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement",005,"Foreign Affairs, Trade and Development","Affaires étrangères, Commerce et Développement",Contribution,Contribution,0,6261078,0,0,0,-225518,"Payments of assessed contributions to International Organizations","Paiements de quote-parts aux organisations internationales","Commonwealth Secretariat (3,798,045 Pounds Sterling)","Secrétariat du Commonwealth (3 798 045 livres sterling)",6035560,0,0,5620240
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,1539000000,0,0,0,-23477000,"Pensions for disability and death, including pensions granted under the authority of the Civilian Government Employees (War) Compensation Order, PC45/8848 of November 22, 1944, which shall be subject to the Pension Act; for compensation for former prisoners of war under the Pension Act, and Newfoundland special awards","Pensions d'invalidité et de décès, y compris les pensions accordées en vertu de l'ordonnance sur l'indemnisation des employés civils (Guerre) de l'État, CP 45/8848 du 22 novembre 1944, qui sont régies par les dispositions de la Loi sur les pensions; indemnisation pour les anciens prisonniers de guerre en vertu de la Loi sur les pensions; et allocations spéciales dans le cas de Terre-Neuve",,,1473364776,42158224,0,1562918105
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,531871000,0,0,0,-18882000,"Disability Awards and Allowances","Indemnités et allocations d'invalidité",,,472571049,40417951,0,461366803
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,268610000,0,0,0,21390000,"Housekeeping and Grounds Maintenance","Entretien ménager et entretien du terrain",,,280527666,9472334,0,245571113
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,204195000,0,0,0,9200000,"Earnings Loss and Supplementary Retirement Benefit","Allocation pour perte de revenus et prestation de retraite supplémentaire",,,190693221,22701779,0,149391628
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,15071000,0,0,0,10700000,"War Veterans Allowances and Civilian War Allowances","Allocations aux anciens combattants et allocations de guerre pour les civils",,,8542703,17228297,0,8511410
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,11814000,1914200,0,0,0,"Last Post Fund","Fonds du Souvenir",,,8547329,5180871,0,8461534
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,10648000,0,0,0,600000,"Commonwealth War Graves Commission","Commission des sépultures de guerre du Commonwealth",,,10913493,334507,0,9714969
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,850000,0,0,0,0,"Payments under the Flying Accidents Compensation Regulations","Paiements effectués en vertu du règlement sur l'Indemnisation en cas d'accidents d'aviation",,,684191,165809,0,711007
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,660000,0,0,0,55000,"Children of Deceased Veterans Education Assistance","Aide en matière d'éducation aux enfants des anciens combattants décédés",,,666860,48140,0,569658
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,650000,0,0,0,0,"Treatment Allowances","Allocation de traitement",,,537354,112646,0,556890
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,460000,0,0,0,0,"Assistance in accordance with the provisions of the Assistance Fund Regulations","Aide accordée en conformité avec les dispositions du Règlement sur le fonds de secours",,,269503,190497,0,296665
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,358000,0,0,0,374000,"Canadian Forces Income Support Allowance","Allocation de soutien du revenu des Forces canadiennes",,,635135,96865,0,322312
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,296300,0,0,0,0,"Career Transition Services","Services de transition de carrière",,,13236,283064,0,11684
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,175000,0,179187,0,0,"(S) Veterans Insurance Actuarial Liability Adjustment","(S) Rajustement des engagements actuariels de l'assurance des anciens combattants",,,354187,0,0,0
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,120000,0,0,0,40000,"Assistance to Canadian Veterans - Overseas District","Aide aux anciens combattants canadiens - District d'outre-mer",,,147051,12949,0,129968
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,70000,0,0,0,0,"United Nations Memorial Cemetery in Korea","Cimetière commémoratif des Nations Unies en Corée",,,19827,50173,0,18021
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,15000,0,0,0,0,"Payments of Gallantry Awards","Paiements de prestations pour bravoure",,,11624,3376,0,13749
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,5000,0,0,0,0,"Canadian Veterans Association of the United Kingdom","Association canadienne des anciens combattants du Royaume-Uni",,,5000,0,0,5000
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,10000,0,-8338,0,0,"(S) Returned Soldiers Insurance Actuarial Liability Adjustment","(S) Rajustement des engagements actuariels de l'assurance des soldats de retour au pays",,,1662,0,0,1067
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,10000,0,-10000,0,0,"(S) Repayments under section 15 of the War Service Grants Act of compensating adjustments made in accordance with the terms of the Veterans' Land Act","(S) Remboursements, en vertu de l'article 15 de la Loi sur les indemnités de service de guerre, de redressements de compensation effectués en conformité avec la Loi sur les terres destinées aux anciens combattants",,,0,0,0,0
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Grant,Subvention,0,2000,0,-2000,0,0,"(S) Re-establishment credits under section 8 of the War Service Grants Act","(S) Crédits de réadaptation en vertu de l'article 8 de la Loi sur les indemnités de service de guerre",,,0,0,0,0
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Contribution,Contribution,0,97246000,0,0,0,0,"Contributions to veterans, under the Veterans Independence Program, to assist in defraying costs of extended health care not covered by provincial health programs","Contributions accordées aux anciens combattants, en vertu du Programme pour l'autonomie des anciens combattants, afin de les aider à payer les coûts des services complémentaires de santé non couverts par les programmes de soins médicaux provinciaux",,,82552630,14693370,0,184061004
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Contribution,Contribution,0,2548000,0,0,0,0,"Contributions under the Commemorative Partnerships Program, to organizations, institutions and other levels of government, in support of projects related to the health and well-being of the veteran population, and commemoration activities and events","Contributions, en vertu du Programme du partenaires pour la commémoration, aux organisations, institutions et autres ordres de gouvernement, à l'appui des projets afférents à la santé et au mieux-être des anciens combattants, et des activités et événements commémoratifs",,,1648821,899179,0,2140321
2014/2015,24,"Veterans Affairs","Anciens Combattants",021,"Veterans Affairs","Anciens Combattants",Contribution,Contribution,0,750000,502402,0,0,0,"Contributions for the Community War Memorial Program to support the building of new, or major additions to existing cenotaphs and monuments","Contributions pour le Programme d'aide à l'édification de monuments commémoratifs dans les collectivités afin d'appuyer la construction de nouveaux cénotaphes et monuments ou d'apporter des ajouts importants aux cénotaphes et monuments existants",,,724166,528236,0,747598
2014/2015,23,"Treasury Board","Conseil du Trésor",056,"Treasury Board","Conseil du Trésor",Contribution,Contribution,0,0,0,200000,0,0,"International Public Sector Accounting Standards Board","Conseil des normes comptables internationales du secteur public",,,200000,0,0,200000
2014/2015,23,"Treasury Board","Conseil du Trésor",056,"Treasury Board","Conseil du Trésor",Contribution,Contribution,0,0,0,70000,0,0,"Research and Policy Initiatives Assistance Program","Programme de soutien d'initiatives stratéqiques et de recherche",,,70000,0,0,53000
2014/2015,23,"Treasury Board","Conseil du Trésor",056,"Treasury Board","Conseil du Trésor",Contribution,Contribution,0,0,0,25000,0,0,"Organisation for Economic Co-operation and Development","Organisation de coopération et de développement économique",,,25000,0,0,3600
2014/2015,23,"Treasury Board","Conseil du Trésor",056,"Treasury Board","Conseil du Trésor","Other Transfer Payment","Autre paiement de transfert",0,495000,0,0,0,0,"Payments, in the nature of Workers' Compensation, in accordance with the Public Service Income Benefit Plan for survivors of employees slain on duty","Paiements, sous forme d'indemnités pour des accidents du travail, conformément aux régimes de la fonction publique de prestations versées aux survivants des employés décédés dans l'exercice de leurs fonctions",,,388297,106703,0,322784
2014/2015,23,"Treasury Board","Conseil du Trésor",056,"Treasury Board","Conseil du Trésor","Other Transfer Payment","Autre paiement de transfert",0,0,0,5708,0,0,"(S) Payments under the Public Service Pension Adjustment Act","(S) Versements en vertu de la Loi sur la mise au point des pensions du service public",,,5708,0,0,4603
2014/2015,23,"Treasury Board","Conseil du Trésor",056,"Treasury Board","Conseil du Trésor","Other Transfer Payment","Autre paiement de transfert",0,5000,0,0,0,0,"Special Indemnity Plan for Spouses of Canadian Forces Attachés","Régime spécial d'indemnisation pour les conjoints des attachés des Forces canadiennes",,,3533,1467,0,4679
2014/2015,23,"Treasury Board","Conseil du Trésor",046,"Office of the Public Sector Integrity Commissioner","Commissariat à l'intégrité du secteur public",Contribution,Contribution,0,40000,0,0,0,639,"Contributions for access to legal advice under the Public Servants Disclosure Protection Act","Contribution qui permet d'obtenir des conseils juridiques en vertu de la Loi sur la protection des fonctionnaires divulgateurs d'actes répréhensibles",,,40638,1,0,34533
2014/2015,22,Transport,Transports,034,Transport,Transports,Grant,Subvention,0,28868346,0,-513231,0,0,"Grant to the Province of British Columbia in respect of the provision of ferry and coastal freight and passenger services","Subvention à la province de la Colombie-Britannique à l'égard de la prestation de services de traversier et de cabotage pour marchandises et voyageurs",,,28355115,0,0,28372954
2014/2015,22,Transport,Transports,034,Transport,Transports,Grant,Subvention,0,300000,0,-100000,0,0,"Grant to close grade crossings","Subvention pour la fermeture de passages à niveau",,,95000,105000,0,95000
2014/2015,22,Transport,Transports,034,Transport,Transports,Grant,Subvention,0,250000,27351,0,0,0,"Grants to support clean Transportation initiatives","Subventions à l'appui des initiatives en matière de transports propres",,,27350,250001,0,250000
2014/2015,22,Transport,Transports,034,Transport,Transports,Grant,Subvention,0,200000,0,0,0,0,"Grant for the Northern Transportation Adaptation Initiative","Subvention pour l'Initiative d'adaptation des transports dans le Nord",,,150000,50000,0,249985
2014/2015,22,Transport,Transports,034,Transport,Transports,Grant,Subvention,0,130000,0,0,0,0,"Grant to the International Civil Aviation Organization (ICAO) for Cooperative Development of Operational Safety and Continuing Airworthiness Program (COSCAP)","Subvention au Programme de développement coopératif de la sécurité opérationnelle et de maintien de la navigabilité (COSCAP) de l'Organisation de l'aviation civile internationale (OACI)",,,130000,0,0,130000
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,470934398,0,0,0,0,"Gateways and Border Crossings Fund","Fonds pour les portes d'entrée et les passages frontaliers",,,336389054,134545344,0,128832901
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,135662628,0,0,0,0,"Asia-Pacific Gateway and Corridor Transportation Infrastructure Fund","Fonds d'infrastructure de transport de la Porte d'entrée et du Corridor de l'Asie-Pacifique",,,95145022,40517606,0,185097539
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,38000000,0,-3112485,0,0,"Airports Capital Assistance Program","Programme d'aide aux immobilisations aéroportuaires",,,27326438,7561077,0,12869974
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,18418941,-27350,-7605626,0,0,"Contribution to Support Clean Transportation Initiatives","Contribution à l'appui des initiatives en matière de transports propres",,,5890807,4895158,0,5247655
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,16720000,18810009,-945556,0,0,"Ferry Services Contribution Program","Programme de contributions aux services de traversier",,,32616292,1968161,0,28349829
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,11200000,0,2160273,0,0,"Regional and Remote Passenger Rail Service Class Contribution Program","Fonds pour le programme de contribution pour les services ferroviaires voyageurs dans les régions et les localités éloignées",,,13360273,0,0,12809202
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,10945000,0,-497658,0,0,"Payments in support of crossing improvements approved under the Railway Safety Act","Paiements à l'appui des améliorations apportées aux croisements, approuvées aux termes de la Loi sur la sécurité ferroviaire",,,8402976,2044366,0,7052349
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,8380000,0,2405000,0,0,"Contributions to provinces toward highway improvements to enhance overall efficiency and promote safety while encouraging industrial development and tourism from a regional economic perspective: Outaouais Road Development Agreement","Contributions aux provinces pour défrayer le coût des améliorations des systèmes routiers dans le but d'augmenter leur efficacité globale et de promouvoir la sécurité, tout en encourageant, d'un point de vue régional et économique, le développement industriel et le tourisme: Entente pour le développement du réseau routier de l'Outaouais",,,9366718,1418282,0,13066408
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,6341904,0,2054664,0,0,"Contribution for the Oshawa Harbour Port Consolidation Project","Contribution au Projet de regroupement portuaire du port d'Oshawa",,,5899253,2497315,0,748281
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,4442681,0,0,0,0,"Road Safety Transfer Payment Program","Programme de paiements de transfert pour la sécurité routière",,,4442483,198,0,4440264
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,1600000,0,0,0,0,"Airports Operations and Maintenance Subsidy Program","Programme pour l'exploitation et l'entretien des aéroports",,,1226343,373657,0,1401487
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,1000000,0,600620,0,0,"Labrador Coastal Airstrips Restoration Program","Programme de réfection des bandes d'atterrissage de la côte du Labrador",,,1600620,0,0,550000
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,1000000,0,0,0,0,"Contribution in Support of Boating Safety","Contribution à l'appui de la sécurité nautique",,,930663,69337,0,528875
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,1000000,0,0,0,0,"Contribution to Provide Short Term Financial Assistance for the Costs of Repairs, Maintenance, Rehabilitation and Other Related Initiatives Supporting the Ongoing Operations for the Port of Churchill","Contribution en vue de fournir une aide financière à court terme afin de couvrir les coûts de réparation, d'entretien, de remise en état du port de Churchill et d'initiatives connexes destinées à en soutenir l'exploitation continue",,,903176,96824,0,2100000
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,940000,0,367574,0,0,"Contribution for the Northern Transportation Adaptation Initiative","Contribution pour l'Initiative d'adaptation des transports dans le nord",,,1307574,0,0,859383
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,484000,0,-2350,0,0,"Allowances to former employees of Newfoundland Railways, Steamships and Telecommunications Services transferred to Canadian National Railways","Allocations aux anciens employés des services des chemins de fer, des navires à vapeur et des télécommunications de Terre-Neuve mutés aux Chemins de fer nationaux du Canada",,,316630,165020,0,391369
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,419000,0,26911,0,0,"Transportation Association of Canada","Association des transports du Canada",,,445911,0,0,410294
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,300000,0,0,0,0,"Contributions to the Railway Association of Canada for Operation Lifesaver","Contributions à l'Association des chemins de fer du Canada dans le cadre du Programme Opération Gareautrain",,,300000,0,0,300000
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,296000,0,-292000,0,0,"Contribution to the Province of Prince Edward Island for policing services in respect of the Confederation Bridge","Contribution à la province de l'Île-du-Prince-Édouard pour des services de maintien de l'ordre à l'égard du pont de la Confédération",,,0,4000,0,287000
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,100000,0,0,0,0,"Payments to other governments or international agencies for the operation and maintenance of airports, air navigation and airways facilities","Versements aux autres gouvernements ou organismes internationaux pour l'exploitation et l'entretien des aéroports, des installations de navigation aérienne et des voies aériennes",,,47967,52033,0,44835
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,24000,0,0,0,0,"Canadian Transportation Research Forum's Scholarship program","Programme de bourses pour le Groupe de recherches sur les transports au Canada",,,24000,0,0,24000
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,62836173,0,-1103227,0,0,"(S) Northumberland strait crossing subsidy payment under the Northumberland Strait Crossing Act","(S) Paiement de subvention pour l'ouvrage de franchissement du détroit de Northumberland selon la Loi sur l'ouvrage de franchissement du détroit de Northumberland",,,61732946,0,0,60830420
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,3300000,0,0,0,0,"(S) Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the roadway portion of the bridge","(S) Versements à la Compagnie des chemins de fer nationaux du Canada à l'égard de l'abolition des péages sur le pont Victoria à Montréal, et pour la réfection de la voie de circulation du pont",,,3300000,0,0,3300000
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,0,2000000,2200000,0,0,"Ocean Networks Canada - Smart Oceans Contribution Program","Programme de contribution Ocean Networks Canada - Océans intelligents",,,4200000,0,0,0
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,0,0,2961864,0,0,"Port Divestiture Fund","Fonds de cession des ports",,,2961864,0,0,24311814
2014/2015,22,Transport,Transports,034,Transport,Transports,Contribution,Contribution,0,0,0,0,0,0,"Items not required for the current year","Éléments non requis pour l'exercice en cours",,,0,0,0,3495818
2014/2015,20,"Public Works and Government Services","Travaux public et Services gouvernementaux",127,"Public Works and Government Services","Travaux publics et Services gouvernementaux",Grant,Subvention,0,561500000,0,-12093637,0,0,"(S) Payment in lieu of taxes to municipalities and other taxing authorities","(S) Paiement en remplacement d'impôts fonciers versés aux municipalités et à d'autres autorités taxatrices",,,549406363,0,0,535347554
2014/2015,20,"Public Works and Government Services","Travaux public et Services gouvernementaux",127,"Public Works and Government Services","Travaux publics et Services gouvernementaux",Grant,Subvention,0,-561500000,0,12093637,0,0,"(S) Recoveries from custodian departments","(S) Recouvrement auprès des ministères ayant la garde des biens immobiliers",,,-549406363,0,0,-535348287
